B01/Test_1/SoC100% | [VOLTAGE SPIKE] | 0.387946656688777 -> 1.6830376361487]| [IZNAD OCEKIVANE VREDNOSTI]
B01/Test_1/SoC100% | $Z_Threshold | Impedansa probila prag 1.6830376361487 | [1.6830376361487] | [0.5]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44568 | [3.44568] | [3.31]
B01/Test_1/SoC100% | [VOLTAGE SPIKE] | 1.6830376361487 -> 0.228645703051686]| [ISPOD OCEKIVANE VREDNOSTI]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44453 | [3.44453] | [3.31]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:76.07912% | [76.0791237373734] | [25]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44675 | [3.44675] | [3.31]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:74.31310% | [74.3130986492715] | [25]
B01/Test_1/SoC100% | [VOLTAGE SPIKE] | 3.44675 -> 1.44703]| [ISPOD OCEKIVANOG]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:73.69936% | [73.6993602045646] | [25]
B01/Test_1/SoC100% | $DEVIJACIJA | Napon odstupio od proseka: 50.88149% | [50.8814926014024] | [25]
B01/Test_1/SoC100% | [VOLTAGE SPIKE] | 1.44703 -> 3.44733]| [IZNAD OCEKIVANOG]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44733 | [3.44733] | [3.31]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:71.43026% | [71.4302572249499] | [25]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44777 | [3.44777] | [3.31]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:73.52039% | [73.5203930704594] | [25]
B01/Test_1/SoC100% | $V_Threshold | Napon je probio prag 3.44794 | [3.44794] | [3.31]
B01/Test_1/SoC100% | $DEVIJACIJA | Impedansa odstupila od proseka:72.90225% | [72.9022508432068] | [25]
